iter	Passed	Remaining
0	18	9178
1	30	7625
2	47	7849
3	55	6899
4	68	6812
5	80	6665
6	96	6802
7	111	6832
8	125	6869
9	130	6373
10	144	6422
11	160	6541
12	175	6558
13	188	6548
14	201	6525
15	215	6512
16	229	6507
17	249	6672
18	265	6712
19	278	6678
20	291	6656
21	306	6650
22	319	6622
23	332	6595
24	344	6549
25	359	6555
26	372	6526
27	396	6682
28	408	6641
29	421	6607
30	436	6599
31	452	6615
32	466	6598
33	479	6569
34	494	6563
35	511	6594
36	527	6597
37	541	6585
38	557	6585
39	572	6582
40	587	6578
41	601	6561
42	615	6536
43	629	6520
44	642	6493
45	656	6483
46	670	6461
47	683	6439
48	697	6423
49	711	6402
50	723	6373
51	736	6346
52	752	6350
53	778	6431
54	798	6462
55	826	6555
56	849	6601
57	869	6626
58	889	6646
59	904	6632
60	1021	7348
61	1122	7933
62	1181	8197
63	1227	8364
64	1301	8711
65	1369	9007
66	1465	9470
67	1503	9553
68	1537	9601
69	1568	9638
70	1594	9631
71	1621	9641
72	1652	9667
73	1683	9691
74	1715	9721
75	1750	9765
76	1809	9941
77	1847	9993
78	1874	9989
79	1914	10049
80	1941	10041
81	1977	10081
82	2002	10059
83	2027	10040
84	2046	9994
85	2069	9961
86	2089	9918
87	2112	9891
88	2134	9856
89	2155	9819
90	2176	9782
91	2192	9725
92	2206	9654
93	2219	9586
94	2233	9523
95	2250	9470
96	2265	9412
97	2279	9350
98	2293	9290
99	2306	9227
100	2320	9167
101	2336	9115
102	2352	9065
103	2366	9011
104	2381	8959
105	2398	8915
106	2417	8879
107	2431	8826
108	2449	8785
109	2472	8765
110	2484	8708
111	2497	8653
112	2519	8628
113	2531	8570
114	2553	8548
115	2569	8505
116	2581	8451
117	2596	8406
118	2610	8359
119	2624	8311
120	2642	8277
121	2654	8225
122	2666	8173
123	2679	8126
124	2701	8104
125	2717	8066
126	2731	8021
127	2746	7981
128	2759	7936
129	2773	7893
130	2787	7851
131	2801	7809
132	2815	7767
133	2827	7721
134	2843	7688
135	2856	7646
136	2870	7604
137	2884	7565
138	2914	7570
139	2926	7525
140	2939	7484
141	2952	7442
142	2966	7404
143	2980	7368
144	2997	7338
145	3017	7316
146	3035	7288
147	3050	7254
148	3065	7222
149	3080	7187
150	3095	7154
151	3110	7121
152	3125	7088
153	3140	7056
154	3155	7022
155	3168	6986
156	3183	6954
157	3197	6922
158	3212	6890
159	3228	6861
160	3243	6829
161	3259	6799
162	3273	6767
163	3292	6744
164	3311	6722
165	3333	6706
166	3349	6679
167	3364	6648
168	3378	6616
169	3392	6585
170	3407	6556
171	3424	6531
172	3439	6501
173	3454	6471
174	3467	6438
175	3479	6405
176	3494	6376
177	3509	6348
178	3511	6297
179	3527	6270
180	3541	6241
181	3555	6212
182	3568	6182
183	3581	6151
184	3594	6119
185	3608	6092
186	3627	6071
187	3646	6051
188	3668	6037
189	3689	6019
190	3706	5997
191	3727	5979
192	3740	5949
193	3754	5921
194	3768	5894
195	3795	5886
196	3808	5857
197	3822	5830
198	3836	5802
199	3850	5775
200	3864	5748
201	3877	5720
202	3889	5690
203	3903	5663
204	3966	5708
205	3979	5678
206	3994	5654
207	4013	5634
208	4028	5609
209	4054	5598
210	4082	5592
211	4099	5569
212	4116	5546
213	4135	5526
214	4155	5508
215	4170	5484
216	4186	5459
217	4200	5434
218	4214	5408
219	4230	5384
220	4244	5357
221	4262	5338
222	4279	5316
223	4297	5294
224	4321	5281
225	4335	5256
226	4350	5232
227	4372	5216
228	4386	5190
229	4400	5166
230	4416	5143
231	4430	5117
232	4445	5093
233	4458	5067
234	4470	5041
235	4492	5024
236	4504	4999
237	4520	4976
238	4534	4951
239	4548	4927
240	4563	4904
241	4577	4880
242	4590	4854
243	4603	4829
244	4623	4811
245	4644	4795
246	4659	4772
247	4672	4748
248	4685	4722
249	4699	4699
250	4716	4678
251	4729	4654
252	4744	4631
253	4757	4607
254	4771	4584
255	4783	4559
